Nome do Parlamentar,Estado,Valor Total Gasto,Reeleito?
JÉSSICA SALES,AC,"R$ 2093041,48",Sim
ROCHA,AC,"R$ 2061305,02",Sim
ALAN RICK,AC,"R$ 2043653,19",Sim
LEO DE BRITO,AC,"R$ 1981814,64",Sim
GIVALDO CARIMBÃO,AL,"R$ 1918183,42",Sim
RONALDO LESSA,AL,"R$ 1900978,96",Sim
PAULÃO,AL,"R$ 1880613,71",Sim
JHC,AL,"R$ 1629505,42",Sim
VINICIUS GURGEL,AP,"R$ 2101224,81",Sim
MARCOS REATEGUI,AP,"R$ 2026622,60",Sim
ANDRÉ ABDON,AP,"R$ 2026116,93",Sim
CABUÇU BORGES,AP,"R$ 2010131,37",Sim
SILAS CÂMARA,AM,"R$ 2084327,59",Sim
ÁTILA LINS,AM,"R$ 1947368,60",Sim
HISSA ABRAHÃO,AM,"R$ 1939771,80",Sim
PAUDERNEY AVELINO,AM,"R$ 1716752,13",Sim
DANIEL ALMEIDA,BA,"R$ 1874620,08",Sim
AFONSO FLORENCE,BA,"R$ 1874532,52",Sim
BEBETO,BA,"R$ 1859089,75",Sim
SÉRGIO BRITO,BA,"R$ 1851265,84",Sim
DOMINGOS NETO,CE,"R$ 2036634,27",Sim
DANILO FORTE,CE,"R$ 2035921,44",Sim
GORETE PEREIRA,CE,"R$ 2030398,16",Sim
JOSÉ GUIMARÃES,CE,"R$ 2019633,50",Sim
LAERTE BESSA,DF,"R$ 1495375,26",Sim
ALBERTO FRAGA,DF,"R$ 1482747,91",Sim
IZALCI LUCAS,DF,"R$ 1467108,81",Sim
RÔNEY NEMER,DF,"R$ 1391945,21",Sim
CARLOS MANATO,ES,"R$ 1861904,77",Sim
LELO COIMBRA,ES,"R$ 1794617,91",Sim
PAULO FOLETTO,ES,"R$ 1745231,98",Sim
GIVALDO VIEIRA,ES,"R$ 1688855,51",Sim
FLÁVIA MORAIS,GO,"R$ 1692491,57",Sim
LUCAS VERGILIO,GO,"R$ 1679796,39",Sim
JOVAIR ARANTES,GO,"R$ 1657044,83",Sim
CÉLIO SILVEIRA,GO,"R$ 1651590,90",Sim
CLEBER VERDE,MA,"R$ 2025243,38",Sim
HILDO ROCHA,MA,"R$ 2011361,72",Sim
RUBENS PEREIRA JÚNIOR,MA,"R$ 2008455,49",Sim
PEDRO FERNANDES,MA,"R$ 2002808,97",Sim
SÁGUAS MORAES,MT,"R$ 1993118,58",Sim
CARLOS BEZERRA,MT,"R$ 1840958,09",Sim
VALTENIR PEREIRA,MT,"R$ 1741609,74",Sim
NILSON LEITÃO,MT,"R$ 1692960,28",Sim
DAGOBERTO NOGUEIRA,MS,"R$ 1970639,15",Sim
VANDER LOUBET,MS,"R$ 1927817,81",Sim
ELIZEU DIONIZIO,MS,"R$ 1900387,23",Sim
ZECA DO PT,MS,"R$ 1878119,70",Sim
CARLOS MELLES,MG,"R$ 1749549,04",Sim
